ORG_ID,ORG_NAME,ZCTA,Distance,TravelTime,DANCENYC_Budget_Size,DANCENYC_Discipline,NYC_MARKER,Org_ADDRESS,Org_Zip_Code,Org_City,Org_State,lng,lat,ZCTA_lng,ZCTA_lat,orgid,orgname,avg_td,med_td,avg_tt,med_tt
4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",10024,3.170000000000000,14,2,Dance Maker,Manhattan,"229 West 42nd Street, Suite 502  New York",10036-7205,Manhattan,NY,-73.988050130000005,40.756812400000001,-73.974853929999995,40.792196509999997,4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",4.230000000000000,3.170000000000000,22.820000000000000,14.000000000000000
4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",10024,3.170000000000000,14,2,Dance Maker,Manhattan,"229 West 42nd Street, Suite 502  New York",10036-7205,Manhattan,NY,-73.988050130000005,40.756812400000001,-73.974853929999995,40.792196509999997,4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",4.230000000000000,3.170000000000000,22.820000000000000,14.000000000000000
4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",10024,3.170000000000000,14,2,Dance Maker,Manhattan,"229 West 42nd Street, Suite 502  New York",10036-7205,Manhattan,NY,-73.988050130000005,40.756812400000001,-73.974853929999995,40.792196509999997,4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",4.230000000000000,3.170000000000000,22.820000000000000,14.000000000000000
4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",10036,0.250000000000000,5,2,Dance Maker,Manhattan,"229 West 42nd Street, Suite 502  New York",10036-7205,Manhattan,NY,-73.988050130000005,40.756812400000001,-73.989909429999997,40.759280439999998,4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",4.230000000000000,3.170000000000000,22.820000000000000,14.000000000000000
4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",10036,0.250000000000000,5,2,Dance Maker,Manhattan,"229 West 42nd Street, Suite 502  New York",10036-7205,Manhattan,NY,-73.988050130000005,40.756812400000001,-73.989909429999997,40.759280439999998,4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",4.230000000000000,3.170000000000000,22.820000000000000,14.000000000000000
4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",10075,3.230000000000000,22,2,Dance Maker,Manhattan,"229 West 42nd Street, Suite 502  New York",10036-7205,Manhattan,NY,-73.988050130000005,40.756812400000001,-73.956208079999996,40.773356530000001,4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",4.230000000000000,3.170000000000000,22.820000000000000,14.000000000000000
4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",10458,10.500000000000000,49,2,Dance Maker,Manhattan,"229 West 42nd Street, Suite 502  New York",10036-7205,Manhattan,NY,-73.988050130000005,40.756812400000001,-73.888145359999996,40.862545259999997,4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",4.230000000000000,3.170000000000000,22.820000000000000,14.000000000000000
4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",11103,5.900000000000000,36,2,Dance Maker,Manhattan,"229 West 42nd Street, Suite 502  New York",10036-7205,Manhattan,NY,-73.988050130000005,40.756812400000001,-73.913447280000000,40.762574110000003,4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",4.230000000000000,3.170000000000000,22.820000000000000,14.000000000000000
4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",11105,6.400000000000000,39,2,Dance Maker,Manhattan,"229 West 42nd Street, Suite 502  New York",10036-7205,Manhattan,NY,-73.988050130000005,40.756812400000001,-73.906768540000002,40.778876560000000,4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",4.230000000000000,3.170000000000000,22.820000000000000,14.000000000000000
4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",11215,8.820000000000000,45,2,Dance Maker,Manhattan,"229 West 42nd Street, Suite 502  New York",10036-7205,Manhattan,NY,-73.988050130000005,40.756812400000001,-73.986827340000005,40.662395080000003,4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",4.230000000000000,3.170000000000000,22.820000000000000,14.000000000000000
